Subject,Movement_sequence,Movement_repetition,Movement_orientation,Xsens_recording_name,Xsens_comment,,Heure Xsens,Time diff,Pupil time,Pupil_folder,Pupil_recording_name,labeled,Expertise,Picture_face,Picture_side,max_threshold_acceleration,air_time_threshold,Xsens_jump_idx,Pupil_jump_idx,Pupil_frames_zero,Xsens_frames_zero,Treatment,,State,Twist_side,Notes
SoMe,8-1o 8--o,0 0,1 -1,SoMe_07,SoMe_8-1_8--_1,Test_17032021-028,3:19:24,12:08:22,15:27:46,2021-08-18_15-27-46-bc1d3905,de0dab85_0.0-111.867,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,,50 70,,,OK,G,
SoMe,8-1o 8--o 8-1o 8--o 8-1o 8--o 8-1o 8--o,0 0 1 1 2 2 3 3,1 -1 -1 1 1 -1 -1 1,SoMe_08,SoMe_8-1_8--_2,Test_17032021-029,3:21:49,12:08:23,15:30:12,2021-08-18_15-30-12-91d08fb2,a1b2dfa9_0.0-36.547,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,0 1 2 3 4 5 6 7,0 1 2 3 4 5 6 7,,0 40,,,OK,G,
SoMe,4-o 41o 4-o 41o 4-o 41o 4-o 41o 4-o,0 0 1 1 2 2 3 3 4,1 1 -1 -1 1 1 -1 -1 1,SoMe_09,SoMe_4-_41_2,Test_17032021-030,3:24:17,12:08:24,15:32:41,2021-08-18_15-32-41-785fde8f,f3a3b4b2_0.0-46.2,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8,,60 260,,,OK,G,
SoMe,4-o 41o 4-o 41o 4-o 41o 4-o 41o 4-o 41o,0 0 1 1 2 2 3 3 4 4,1 1 -1 -1 1 1 -1 -1 1 1,SoMe_10,SoMe_4-_41_3,Test_17032021-031,3:25:51,12:08:25,15:34:16,2021-08-18_15-34-16-963963b4,0386b871_0.0-73.345,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,,240 440,,,OK,G,
SoMe,8-1< 831< 8-1< 831< 8-1< 831<,0 0 1 1 2 2,1 -1 1 -1 1 -1,SoMe_11,SoMe_831_1,Test_17032021-032,3:27:45,12:08:26,15:36:11,2021-08-18_15-36-11-e829b25e,87972c15_0.0-105.114,,Elite,SoMe_face.jpg,SoMe_cote.jpg,4,0.35,3 4 5 6 7 8 9 10 11 12,2 3 4 5 6 7 8 9 10 11,,270 290,,,OK,G,Vision OCP
SoMe,8-1< 831<,0 0,1 -1 1 -1,SoMe_12,SoMe_831_2,Test_17032021-033,3:31:41,12:08:27,15:40:08,2021-08-18_15-40-08-5c112f63,c2a19850_0.0-113.083,,Elite,SoMe_face.jpg,SoMe_cote.jpg,2.5,0.25,0 1 2 3 4 5 6 7 8 9 10,0 1 2 3 4 5 6 7 8 9 10,,0 150,,,OK,G,Vision OCP
SoMe,41/ 42/ 41/ 42/ 41/ 42/ 41/ 42/ 41/ 42/,0 0 1 1 2 2 3 3 4 4,1 -1 -1 1 1 -1 -1 1 1 -1,SoMe_13,SoMe_41_42_2,Test_17032021-035,3:34:55,12:08:28,15:43:23,2021-08-18_15-43-23-9ac01ddd,caccfb24_0.0-48.286,Mat,Elite,SoMe_face.jpg,SoMe_cote.jpg,5.5,0.25,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,,130 330,,,OK,G,Vision OCP
SoMe,4-/ 43/ 4-/ 43/ 4-/ 43/ 4-/ 43/ 4-/ 43/,0 0 1 1 2 2 3 3 4 4,1 1 -1 -1 1 1 -1 -1 1 1,SoMe_14,SoMe_4-_43_2,Test_17032021-036,3:36:35,12:08:29,15:45:04,2021-08-18_15-45-04-e34e868d,62f77c56_0.0-59.395,Mat,Elite,SoMe_face.jpg,SoMe_cote.jpg,3.5,0.25,0 1 2 3 4 5,0 1 2 3 4 5,,200 400,,,OK,G,
SoMe,4-< 8-3< 4-< 8-3< 4-< 8-3<,0 0 1 1 2 2,1 1 1 1 1 1,SoMe_15,SoMe_8-3_1,Test_17032021-037,3:39:44,12:08:30,15:48:14,2021-08-18_15-48-14-f0261b27,250fe66a_0.0-90.687,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,10 11 12 13 14,6 7 8 9 10,,360 440,,,OK,G,que veux dire 4-<
SoMe,4-< 8-3< 4-< 8-3<,0 0 1 1,1 1 1 1,SoMe_16,SoMe_8-3_2,Test_17032021-038,3:42:17,12:08:31,15:50:48,2021-08-18_15-50-48-0e2d3b95,a8fb6bf8_0.0-53.089,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,0 1 2 3 4 5 6 7 8 9 10,0 1 2 3 4 5 6 7 8 9 10,,0 20,,,OK,G,que veux dire 4-<
SoMe,4-o 41o 4-o 41o,0 0 1 1,1 1 -1 -1,SoMe_17,SoMe_4-_41_4,Test_17032021-039,3:44:11,12:08:32,15:52:43,2021-08-18_15-52-43-ea2233ea,afd8db20_0.0-132.337,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,1 2 3 4 5,0 1 2 3 4,,60 80,,,OK,G,
